;minRange;maxRange;medianRange
-20.0;4.807865986999893e-06;0.0013065120000000001;0.00013513871312669998
-10.0;8.565560353600201e-06;0.001620716;0.00021278446801329992
0.0;1.8093173680001212e-06;0.0019382619648237003;0.0002970353483486999
10.0;1.008571983070021e-05;0.0020655330000000005;0.00036865900000000035
20.0;2.4198745171300114e-05;0.002322521339486;0.00046169519164350036
30.0;9.241434486929878e-05;0.0029652151888399005;0.0005157041823505501
40.0;7.667953395549924e-05;0.0039431359731755;0.0006088810000000004
50.0;3.938230192209943e-05;0.0053582528203723005;0.0006924820570364002
60.0;6.862455824719997e-05;0.0048899932347561004;0.0006976780000000002
-30.0;3.909023722100096e-06;0.0009693459999999999;7.9415e-05
total;1.8093173680001212e-06;0.0053582528203723005;0.00035271849599939967
