Index,PcEcPc,liEcPc,temperature,cond_mean,cond_min,cond_max,nearest_PcEcPc,nearest_liEcPc,nearest_liEcPc_min,nearest_liEcPc_max,nearest_conductivity,nearest_conductivity_min,nearest_conductivity_max,exact_prediction
0,0.098316619,0.87224212,-30,0.000803571,0.00056581,0.000918493,0.099454816,0.876797108,0.866704957,0.886889259,0.000814502,0.000839662,0.000789158,0.000824732
1,0.098369507,0.301443329,-30,0.001913292,0.001879416,0.001962358,0.099454816,0.30154451,0.291452359,0.31163666,0.001921337,0.001927271,0.001913223,0.001922895
2,0.098514549,0.252490738,-30,0.001866871,0.001833015,0.001912036,0.099454816,0.251083755,0.240991604,0.261175906,0.001924001,0.001914989,0.00192943,0.001926078
3,0.098538967,0.786373263,-30,0.001149002,0.000991213,0.001190313,0.099454816,0.785967751,0.7758756,0.796059901,0.001029424,0.001051395,0.001007047,0.001028222
4,0.098742297,0.274568453,-30,0.001906883,0.001880052,0.001959467,0.099454816,0.271268057,0.261175906,0.281360208,0.00193159,0.00192943,0.001930777,0.001932548
5,0.098742364,0.85447359,-30,0.00128498,0.000925613,0.0014614,0.099454816,0.856612807,0.846520656,0.866704957,0.000864583,0.000889219,0.000839662,0.000869211
6,0.098753423,0.797269059,-30,0.001151756,0.000946128,0.001250498,0.099454816,0.796059901,0.785967751,0.806152052,0.001007047,0.001029424,0.000984262,0.001004042
7,0.098821919,0.282487301,-30,0.001905772,0.00183372,0.002011111,0.099454816,0.281360208,0.271268057,0.291452359,0.001930777,0.00193159,0.001927271,0.001931341
8,0.098973291,0.290565767,-30,0.001871379,0.001842147,0.001893815,0.099454816,0.291452359,0.281360208,0.30154451,0.001927271,0.001930777,0.001921337,0.001928323
9,0.09923281,0.865168137,-30,0.001514935,0.000891362,0.001860708,0.099454816,0.866704957,0.856612807,0.876797108,0.000839662,0.000864583,0.000814502,0.000843262
10,0.10005633,0.797563723,-30,0.001271874,0.001119728,0.001325322,0.108610268,0.796059901,0.785967751,0.806152052,0.001010777,0.001032472,0.000988679,0.001003932
11,0.10013993,0.823472427,-30,0.001401985,0.001037225,0.001585983,0.099454816,0.826336354,0.816244203,0.836428505,0.000937491,0.000961073,0.000913532,0.000944649
12,0.100944341,0.83212906,-30,0.001281444,0.000977136,0.001462558,0.099454816,0.836428505,0.826336354,0.846520656,0.000913532,0.000937491,0.000889219,0.00092481
13,0.109512134,0.292150801,-30,0.001907339,0.001856671,0.00194992,0.108610268,0.291452359,0.281360208,0.30154451,0.001915406,0.001919224,0.001909193,0.001913917
